fold,seed,closure,feature_set,auprc,auroc,normalized_ap,balanced_accuracy,f1,precision,recall,n_tissues
fold_b,20260806,strict,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,0.4706418000065803,0.5361552640520192,0.04883942643667264,0.4998948461843253,0.6137488821757937,0.443078557766823,0.9995014333790353,5
fold_b,20260806,strict,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,20260806,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5765579040067188,0.6522674805332149,0.23886195070412325,0.561837967943251,0.6289927525461984,0.47964250890527876,0.9138218813594209,5
fold_b,20260806,strict,frozen_pangenomefm,0.4671002131239481,0.5324058681904017,0.04269611018424936,0.500013791031811,0.6138856837205798,0.4431379279236686,0.9998904106015791,5
fold_b,20260806,strict,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,20260806,strict,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
fold_c,42,1hop,coordinate,0.40461673705474316,0.512878523027962,0.015870063993725942,0.5001097746436939,0.565684596016806,0.39518995136224333,0.9997345684329104,5
fold_c,42,1hop,coordinate_plus_frozen_pangenomefm,0.39285569951804716,0.4999813681833093,-0.00437251637949832,0.5019832333167413,0.5616192221298971,0.3961976297509622,0.9655935394584002,5
fold_c,42,1hop,coordinate_plus_frozen_sequence_fm,0.522447112069601,0.6481471790881472,0.20935118066758393,0.596794337709726,0.5881438163654421,0.46518812525271824,0.8018807848747237,5
fold_c,42,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5162489401258675,0.6448165298586492,0.19904119912200854,0.5989192889869503,0.5845701783226291,0.46842560808680594,0.7800189762671659,5
fold_c,42,1hop,frozen_pangenomefm,0.39163056064675705,0.4964573494081447,-0.0063296106469816395,0.4995312586839461,0.5626443351713588,0.39490986965655556,0.9817916362169392,5
fold_c,42,1hop,frozen_sequence_fm,0.5230170871689291,0.6465755608156939,0.21027251331107646,0.5951904874120308,0.5857378239923594,0.4658371789673576,0.7922047188292739,5
fold_c,42,1hop,sequence_kmer,0.49042765751623146,0.6134694716409792,0.1565726972611446,0.5569238336006046,0.5746512921780962,0.4333619123254933,0.8577076393611053,5
fold_c,42,strict,coordinate,0.40461673705474316,0.512878523027962,0.015870063993725942,0.5001097746436939,0.565684596016806,0.39518995136224333,0.9997345684329104,5
