fold,seed,context,feature_set,sample,canonical_sample,in_hprc,unit,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19317,NA19317,False,haplotype_2,2979,0.6146357838200739,0.2332431453983942,0.8758912990940004,0.9163637228681889,0.7549513259483048,0.7288981288981289,0.957400327689787,0.82766761095373,0.4590186290285248,0.1485254652269511,0.09109549102664324
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19331,NA19331,False,donor,4865,0.6168550873586844,0.2332431453983942,0.8613526356736596,0.9028962424410021,0.7366906474820144,0.716515609264854,0.9483505498167277,0.8162914097232181,0.47756877468310327,0.1555491462360992,0.09196983209810428
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19331,NA19331,False,haplotype_1,3047,0.6202822448309813,0.2332431453983942,0.867149122205302,0.9057422638943549,0.7502461437479488,0.7303141574867401,0.9470899470899471,0.8246947707901405,0.4712160592918845,0.15292304371950793,0.09768606049894472
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19331,NA19331,False,haplotype_2,3028,0.6099735799207398,0.2332431453983942,0.8729562138662738,0.907783099177746,0.7424042272126816,0.7180220678381691,0.9512723335138061,0.8183511877037727,0.4656315346417594,0.1503251009531306,0.09016936415911872
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19347,NA19347,False,donor,4831,0.6013247774787829,0.2332431453983942,0.8618397935310445,0.9030832228865132,0.7329745394328296,0.7074235807860262,0.9480206540447504,0.8102383053839365,0.47670325477669173,0.15587202161398575,0.08487851840367391
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19347,NA19347,False,haplotype_1,3008,0.6023936170212766,0.2332431453983942,0.8716356766853455,0.9109209314223092,0.742686170212766,0.7167919799498746,0.9470198675496688,0.8159771754636234,0.4666832090034847,0.15130546741160233,0.08697520398759877
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19347,NA19347,False,haplotype_2,2988,0.6104417670682731,0.2332431453983942,0.8717583329565323,0.9105754348039785,0.7459839357429718,0.7212297465724968,0.9517543859649122,0.8206097849208225,0.4647801917788352,0.1508517572396844,0.08971225176188347
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19384,NA19384,False,donor,4810,0.6114345114345114,0.2332431453983942,0.856165457674919,0.9013950091791163,0.7313929313929314,0.7108156481718231,0.9452567154029242,0.8114419147694104,0.4820092282498378,0.1577768236064716,0.08482795765538141
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19384,NA19384,False,haplotype_1,3041,0.6169023347583031,0.2332431453983942,0.8716651262388243,0.9140579562373667,0.7510687273923051,0.7280880554423156,0.9520255863539445,0.8251328251328252,0.46390774845574756,0.15037753751110197,0.08853308342577491
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19384,NA19384,False,haplotype_2,2998,0.6120747164776518,0.2332431453983942,0.8629734713146728,0.9048368205082501,0.7384923282188125,0.7185031185031185,0.9416893732970028,0.8150943396226416,0.4748479586209314,0.1546824376019295,0.09230869483699929
