sample,unit,context,in_hprc,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG02059,haplotype_1,strict,False,0.0338096475247661,0.002798889885070746,0.03137102967691936,0.03577623517702566,15,5,0
HG02059,haplotype_2,1hop,False,0.03968979057682573,0.006170573998330425,0.03453050191340342,0.044576037535157265,15,5,0
HG02059,haplotype_2,strict,False,0.035168498250528216,0.0042066971499557515,0.0317748458986607,0.03853450496997042,15,5,0
HG02106,donor,1hop,False,0.0406214041190396,0.006153093677476781,0.03596132974141497,0.045499455720753285,15,5,0
HG02106,donor,strict,False,0.03550625195596366,0.0037332498967090535,0.03251591268728542,0.03846053121210439,15,5,0
HG02106,haplotype_1,1hop,False,0.040491157945596136,0.00823504756373004,0.03463526854198211,0.04715686341600216,15,5,0
HG02106,haplotype_1,strict,False,0.03697326642110231,0.006554472870305848,0.03171410742518138,0.042475878295924197,15,5,0
HG02106,haplotype_2,1hop,False,0.040556150663358936,0.0044936666321822374,0.037124079017848664,0.04453369511633618,15,5,0
HG02106,haplotype_2,strict,False,0.03367603789233437,0.003545500910510076,0.03100191095245641,0.03663987859326162,15,5,0
HG02282,donor,1hop,False,0.044841518903758454,0.005487001635061968,0.04114670074471842,0.04847375098610621,15,5,0
HG02282,donor,strict,False,0.03947082214853622,0.004123322685475413,0.03584733218243673,0.042400436367891044,15,5,0
HG02282,haplotype_1,1hop,False,0.04417227347356693,0.006924548520215073,0.03934443625284832,0.04907492206106731,15,5,0
HG02282,haplotype_1,strict,False,0.03864828635928926,0.00548566372795727,0.03352454535310371,0.04282379816230328,15,5,0
HG02282,haplotype_2,1hop,False,0.044460599796285374,0.005662497117330981,0.04036489032090061,0.04822039302953328,15,5,0
HG02282,haplotype_2,strict,False,0.040471394841888705,0.004221428460404408,0.03695055174489772,0.04355952232028317,15,5,0
HG02492,donor,1hop,False,0.04421669728356747,0.006105835510338816,0.040123821747602165,0.048575512721836675,15,5,0
HG02492,donor,strict,False,0.03813222459960943,0.004952983031621919,0.033788090103478885,0.04190932377889853,15,5,0
HG02492,haplotype_1,1hop,False,0.04386681912863685,0.008529433668046055,0.03826810838337489,0.05075210581326438,15,5,0
HG02492,haplotype_1,strict,False,0.038212797689013055,0.006510504026272831,0.03293572121913246,0.04347636951565598,15,5,0
HG02492,haplotype_2,1hop,False,0.0415758948443582,0.0059859010681069915,0.03696422941609905,0.04610532842658541,15,5,0
HG02492,haplotype_2,strict,False,0.03561961418092159,0.004968364011099343,0.031312724944853536,0.039420261192698,15,5,0
HG02554,donor,1hop,False,0.044385026725359066,0.005681566643131008,0.04037296318982615,0.048657721264184536,15,5,0
HG02554,donor,strict,False,0.03829736602965504,0.004096044223743769,0.03468356169147043,0.041285427425757706,15,5,0
HG02554,haplotype_1,1hop,False,0.04440064589898394,0.006120153905811271,0.03988832296496287,0.04907566093496384,15,5,0
HG02554,haplotype_1,strict,False,0.0398344376817695,0.00489615820075567,0.0355086652327355,0.04344555192223302,15,5,0
HG02554,haplotype_2,1hop,False,0.04307764934682311,0.006339603220701974,0.03846846520510057,0.047687276824752406,15,5,0
HG02554,haplotype_2,strict,False,0.037573575814315426,0.00488240910674302,0.033244318431666725,0.04108882762070105,15,5,0
HG02587,donor,1hop,False,0.04327545989680161,0.004482920857098555,0.04015274598235838,0.04681244809888638,15,5,0
HG02587,donor,strict,False,0.037647865439608616,0.003339399173296729,0.0348456027847664,0.04003539643576403,15,5,0
HG02587,haplotype_1,1hop,False,0.042572888965750386,0.006623612106843217,0.03789144969646314,0.04773586503914044,15,5,0
HG02587,haplotype_1,strict,False,0.038184454152989114,0.004811942656102839,0.03418142987531656,0.04198994658303443,15,5,0
HG02587,haplotype_2,1hop,False,0.04197955083052688,0.004242381633619695,0.03848912058607731,0.045325897636599624,15,5,0
HG02587,haplotype_2,strict,False,0.036754896397853815,0.0034139591515943693,0.0336542657313518,0.03883300326922057,15,5,0
HG02666,donor,1hop,False,0.044537150972457966,0.0051926167542593535,0.04036675861413126,0.048735768106004294,15,5,0
HG02666,donor,strict,False,0.038272404111061115,0.0034828981803466928,0.03553449734744851,0.040994213846741144,15,5,0
HG02666,haplotype_1,1hop,False,0.0430582634055224,0.005253370584467642,0.03883434422865665,0.04741141185051223,15,5,0
HG02666,haplotype_1,strict,False,0.03783084883129011,0.004522070865477885,0.03418778909531404,0.041518080665863155,15,5,0
HG02666,haplotype_2,1hop,False,0.043762508057045665,0.0049939172155266005,0.03968861661608732,0.047789091886947827,15,5,0
HG02666,haplotype_2,strict,False,0.03803333092548987,0.002941982269537657,0.03593106723338832,0.04031215591903447,15,5,0
HG02769,donor,1hop,False,0.043515926269604835,0.00529540488199241,0.03919192323149562,0.04775308570908899,15,5,0
HG02769,donor,strict,False,0.037005777439845185,0.002479472087441194,0.03512035379521953,0.03896198993075812,15,5,0
HG02769,haplotype_1,1hop,False,0.04419831630338486,0.006872906899740944,0.03827486753424987,0.04957665917671061,15,5,0
HG02769,haplotype_1,strict,False,0.03823290761876356,0.0042856414837589675,0.03449108714981311,0.04138374568755082,15,5,0
HG02769,haplotype_2,1hop,False,0.042448314031707575,0.004353799926102154,0.038867881556416864,0.04591914720603763,15,5,0
HG02769,haplotype_2,strict,False,0.03644006806537199,0.003127697158457278,0.03390154151956101,0.03880771447426949,15,5,0
HG02818,donor,1hop,True,0.04594094195215278,0.0033671404655120927,0.04326233260824763,0.04839300493184872,15,5,0
HG02818,donor,strict,True,0.038845613700434836,0.0032292019688343796,0.03623661710093927,0.04126419366807627,15,5,0
HG02818,haplotype_1,1hop,True,0.04280092988506982,0.0057180973677154546,0.03864095524969452,0.04769726033708055,15,5,0
HG02818,haplotype_1,strict,True,0.03757234855850537,0.006006642282450692,0.03319364728903881,0.042924899086771745,15,5,0
HG02818,haplotype_2,1hop,True,0.04533480961565346,0.002470998131821399,0.04350453651713249,0.04707692854159002,15,5,0
HG02818,haplotype_2,strict,True,0.0382950532173418,0.0028790743471834492,0.03611722719549316,0.04053988033993667,15,5,0
HG02953,donor,1hop,False,0.045037531960905736,0.006187903014692805,0.04115270766917897,0.050372548313456146,15,5,0
HG02953,donor,strict,False,0.03836836076582311,0.005392938278212155,0.03451849774527995,0.04327137793807688,15,5,0
HG02953,haplotype_1,1hop,False,0.04465939127851225,0.007540165553681674,0.03969639102833236,0.051042887310120966,15,5,0
HG02953,haplotype_1,strict,False,0.04003303645621521,0.0077908642934711204,0.03478010832369581,0.04734210553455199,15,5,0
HG02953,haplotype_2,1hop,False,0.04284798416551254,0.0044713852134566886,0.03918332990706238,0.04641802614774905,15,5,0
HG02953,haplotype_2,strict,False,0.0355601873606664,0.0038817111937878325,0.03240480563567395,0.038581446668044896,15,5,0
HG03009,donor,1hop,False,0.04237874202622383,0.005865965760196043,0.03785956146001081,0.04702941547676831,15,5,0
HG03009,donor,strict,False,0.03589495592511064,0.003733186267026812,0.032813230348924805,0.03886396688728205,15,5,0
HG03009,haplotype_1,1hop,False,0.041585683284952296,0.0069255136061318195,0.03598817673991422,0.047233645737500295,15,5,0
HG03009,haplotype_1,strict,False,0.03552195569787161,0.003971627086673362,0.03198065009427257,0.038403476183095295,15,5,0
HG03009,haplotype_2,1hop,False,0.04104183658553297,0.004800106041877877,0.03744943773921737,0.04450168560936746,15,5,0
HG03009,haplotype_2,strict,False,0.035613460393545265,0.0035210461382921606,0.032791816381988415,0.03847043431903377,15,5,0
HG03065,donor,1hop,False,0.04595452401877222,0.005492784286116917,0.041955345914635574,0.05032837928697278,15,5,0
HG03065,donor,strict,False,0.04036926679570073,0.0049591344106332935,0.036217321853690226,0.04423632613550828,15,5,0
HG03065,haplotype_1,1hop,False,0.04433465546294695,0.004527467853225893,0.040859516616088054,0.048063463652121594,15,5,0
HG03065,haplotype_1,strict,False,0.03846947257771734,0.004519849868190784,0.03457578607074609,0.04186902731065205,15,5,0
HG03065,haplotype_2,1hop,False,0.04576526930168455,0.005529241492527334,0.04198919918306539,0.0497193496220525,15,5,0
HG03065,haplotype_2,strict,False,0.04159837208298956,0.0050239290325004935,0.03745078664054582,0.045572973223510116,15,5,0
HG03248,donor,1hop,False,0.04438546582338828,0.0058023454610358835,0.04047850702221966,0.04928117601812222,15,5,0
HG03248,donor,strict,False,0.03775251599499331,0.004623059169340424,0.034057561850238095,0.0415528796019933,15,5,0
HG03248,haplotype_1,1hop,False,0.0436200384446768,0.0031975413576239902,0.041399915112519274,0.04636999774805157,15,5,0
HG03248,haplotype_1,strict,False,0.03791074661740744,0.0035832573942576277,0.03549824794671207,0.04090511742768049,15,5,0
HG03248,haplotype_2,1hop,False,0.04328661779939454,0.00816309975913691,0.037288713573160256,0.05014555674862876,15,5,0
HG03248,haplotype_2,strict,False,0.037924637375154176,0.006745540512497741,0.03224936930705054,0.04339495125183276,15,5,0
HG03371,donor,1hop,False,0.04446580245250484,0.007083919876746904,0.039008602110211295,0.05023166565343027,15,5,0
HG03371,donor,strict,False,0.03898112794163109,0.005388161318811664,0.03500713721425216,0.043631616288540113,15,5,0
HG03371,haplotype_1,1hop,False,0.0421576734024365,0.0052532269899371944,0.03806410213860647,0.04683687021574185,15,5,0
HG03371,haplotype_1,strict,False,0.03712583863071762,0.004915629430696049,0.03364041981938829,0.04144039217384385,15,5,0
