sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00268,haplotype_2,strict,False,3399.6,0.6252418596291862,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9191167787649371,0.01041295858557596,0.9102458165346584,0.9274650375430952,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auprc,coordinate_plus_frozen_sequence_fm,0.9063027184986934,0.012612675443650908,0.8958350231178913,0.9167704138794954,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9477306360721832,0.00750154696784183,0.9418402743201835,0.9532340740715752,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auroc,coordinate_plus_frozen_sequence_fm,0.8592400043791012,0.013716876295332586,0.847579526311777,0.8709004824464256,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9192522065764287,0.009541597111705998,0.9116115568074312,0.9270044495364513,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auprc,coordinate_plus_frozen_sequence_fm,0.9063027184986934,0.012612675443650908,0.8958350231178913,0.9167704138794954,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9413348206816398,0.009474764505005314,0.9335622950694293,0.9490664901931833,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auroc,coordinate_plus_frozen_sequence_fm,0.8592400043791012,0.013716876295332586,0.847579526311777,0.8709004824464256,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9074150348131591,0.011919807301129983,0.8975568811261739,0.9173849725958209,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auprc,coordinate_plus_frozen_sequence_fm,0.9152349079944319,0.00998270103159722,0.9068294574622492,0.9236403585266143,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9537343864645895,0.004053137673766506,0.9505953458986702,0.9571219887745621,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auroc,coordinate_plus_frozen_sequence_fm,0.8701173796597028,0.011178638339085108,0.8598619412015261,0.8789644689192408,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9273902850829898,0.005689213271701969,0.9232160869660987,0.9324902245873367,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auprc,coordinate_plus_frozen_sequence_fm,0.9152349079944319,0.00998270103159722,0.9068294574622492,0.9236403585266143,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9484931400213434,0.0074272001466253595,0.9426478718090014,0.9548883076865127,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auroc,coordinate_plus_frozen_sequence_fm,0.8701173796597028,0.011178638339085108,0.8598619412015261,0.8789644689192408,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.917289937961989,0.009089486265941237,0.9097782148457043,0.924712238319362,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auprc,coordinate_plus_frozen_sequence_fm,0.9135878075359537,0.011790392089442242,0.9038942393026466,0.9232813757692606,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9543952854198282,0.0077817690593637604,0.9484380509517234,0.9595248274287078,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auroc,coordinate_plus_frozen_sequence_fm,0.8708890935466276,0.012892779542358766,0.8600124764030356,0.8817657106902196,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9287279976167925,0.009569705847108713,0.9213557220086166,0.9361910741391547,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auprc,coordinate_plus_frozen_sequence_fm,0.9135878075359537,0.011790392089442242,0.9038942393026466,0.9232813757692606,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9484584707615082,0.008656833149539151,0.9410280585653615,0.9552726170452126,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auroc,coordinate_plus_frozen_sequence_fm,0.8708890935466276,0.012892779542358766,0.8600124764030356,0.8817657106902196,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9176292487854335,0.010603621429307415,0.9088740619340995,0.9263194454099805,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auprc,coordinate_plus_frozen_sequence_fm,0.9006524257815047,0.019486989892784717,0.8826667858669521,0.915667520409413,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.944715223349535,0.013003669232547626,0.9334905150065018,0.9541221957618753,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auroc,coordinate_plus_frozen_sequence_fm,0.853606910142058,0.017033310313700402,0.8377636868861776,0.8665367579572667,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9161799838659538,0.011926071865142312,0.9059532442789834,0.9250851535949829,15,5,0
HG00512,donor,strict,False,5128.0,0.6208574136477629,auprc,coordinate_plus_frozen_sequence_fm,0.9006524257815047,0.019486989892784717,0.8826667858669521,0.915667520409413,15,5,0
HG00512,donor,strict,False,5128.0,0.6208574136477629,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9375606785255494,0.013638706134563684,0.9251209237917986,0.9479314206200865,15,5,0
HG00512,donor,strict,False,5128.0,0.6208574136477629,auroc,coordinate_plus_frozen_sequence_fm,0.853606910142058,0.017033310313700402,0.8377636868861776,0.8665367579572667,15,5,0
