sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG01114,haplotype_2,1hop,False,3429.0,0.6220242934492586,auroc,0.05647497938910636,0.007143357743198761,0.05067429051239151,0.06223427240793141,15,5,0
HG01114,haplotype_2,strict,False,3429.0,0.6220242934492586,auprc,0.034376997268833004,0.006738155060685271,0.029062684364729564,0.040206296709577476,15,5,0
HG01114,haplotype_2,strict,False,3429.0,0.6220242934492586,auroc,0.04646338712256212,0.004609835610748472,0.04285050508423272,0.050382863662594396,15,5,0
HG01352,donor,1hop,False,5255.6,0.621552675147253,auprc,0.041657257986284564,0.006197913502207682,0.03735807434549057,0.046295317122605394,15,5,0
HG01352,donor,1hop,False,5255.6,0.621552675147253,auroc,0.05929169569341896,0.005003406847432394,0.05589219301932709,0.06289423231437012,15,5,0
HG01352,donor,strict,False,5255.6,0.621552675147253,auprc,0.035871632514171144,0.005072071057128233,0.031725766387465965,0.039888419931721666,15,5,0
HG01352,donor,strict,False,5255.6,0.621552675147253,auroc,0.04894322624456473,0.0028393172780861358,0.0467185591714095,0.05105448618559429,15,5,0
HG01352,haplotype_1,1hop,False,3423.8,0.6256491790867621,auprc,0.04260666711832701,0.0058733313154427725,0.037962328158445975,0.04634691898242711,15,5,0
HG01352,haplotype_1,1hop,False,3423.8,0.6256491790867621,auroc,0.059040862492469565,0.004099775511835411,0.05617678483622328,0.06165118690571918,15,5,0
HG01352,haplotype_1,strict,False,3423.8,0.6256491790867621,auprc,0.03706095129030929,0.004107564973347205,0.0333516718363903,0.03989726531486577,15,5,0
HG01352,haplotype_1,strict,False,3423.8,0.6256491790867621,auroc,0.04983852857657927,0.002459605535211095,0.04812466899094665,0.05186281820488527,15,5,0
HG01352,haplotype_2,1hop,False,3452.0,0.621674248239422,auprc,0.03914543041344525,0.008198333682686673,0.03316994336347962,0.04580214139449638,15,5,0
HG01352,haplotype_2,1hop,False,3452.0,0.621674248239422,auroc,0.05654381284543716,0.007302521451731306,0.05102185750749535,0.06231185017792846,15,5,0
HG01352,haplotype_2,strict,False,3452.0,0.621674248239422,auprc,0.03428420993928712,0.0074196826379343125,0.028311273799472104,0.04035323031883833,15,5,0
HG01352,haplotype_2,strict,False,3452.0,0.621674248239422,auroc,0.04698721455382688,0.0051400557233275595,0.042889271791184576,0.051126207993234155,15,5,0
HG01457,donor,1hop,False,5299.4,0.6213473206261141,auprc,0.04002946357432602,0.005051998732900493,0.03670941655425247,0.04381235856188299,15,5,0
HG01457,donor,1hop,False,5299.4,0.6213473206261141,auroc,0.05707951667038568,0.003723600255791864,0.054949499923616855,0.059525301606703954,15,5,0
HG01457,donor,strict,False,5299.4,0.6213473206261141,auprc,0.03492141041733687,0.003410136932993343,0.03213876077549342,0.03748353267043813,15,5,0
HG01457,donor,strict,False,5299.4,0.6213473206261141,auroc,0.04768007067464057,0.0019409119460222187,0.04649722765546317,0.048883917382941774,15,5,0
HG01457,haplotype_1,1hop,False,3463.2,0.6258059638717663,auprc,0.03821403051909486,0.00482167758978113,0.034698119614485656,0.04237104122594351,15,5,0
HG01457,haplotype_1,1hop,False,3463.2,0.6258059638717663,auroc,0.05592489473334485,0.003994231734606479,0.053448915895370576,0.05954846600689155,15,5,0
HG01457,haplotype_1,strict,False,3463.2,0.6258059638717663,auprc,0.032994082821909215,0.0036819042612556262,0.030397082271656512,0.036059798540484946,15,5,0
HG01457,haplotype_1,strict,False,3463.2,0.6258059638717663,auroc,0.04659661665825226,0.0038443409662714373,0.04363590938699088,0.04967548356923013,15,5,0
HG01457,haplotype_2,1hop,False,3392.6,0.619199652836965,auprc,0.03963013977259337,0.005919592242469186,0.036179893514271366,0.043671042406282154,15,5,0
HG01457,haplotype_2,1hop,False,3392.6,0.619199652836965,auroc,0.05471838139796011,0.004694431624156253,0.05191255374962909,0.05759030489694571,15,5,0
HG01457,haplotype_2,strict,False,3392.6,0.619199652836965,auprc,0.03551200865512924,0.0052746879879515835,0.03090373178586385,0.039706291044604006,15,5,0
HG01457,haplotype_2,strict,False,3392.6,0.619199652836965,auroc,0.04671130879439057,0.002733371394801227,0.04478792145789968,0.04873981375906816,15,5,0
HG01505,donor,1hop,False,5219.4,0.6244916063950086,auprc,0.04080941652843687,0.0053406764079190734,0.03691750940068199,0.045222580487638185,15,5,0
HG01505,donor,1hop,False,5219.4,0.6244916063950086,auroc,0.05938342693450545,0.005347117974441867,0.055411989722483596,0.0636978977515976,15,5,0
HG01505,donor,strict,False,5219.4,0.6244916063950086,auprc,0.03483489505553182,0.0032570342062426677,0.032305403645826465,0.03743109302410416,15,5,0
HG01505,donor,strict,False,5219.4,0.6244916063950086,auroc,0.04865584642807464,0.003004516242271169,0.046546071034328056,0.05098586045562983,15,5,0
HG01505,haplotype_1,1hop,False,3365.4,0.6245752408353904,auprc,0.038924267804506064,0.005016874985243599,0.03506007483214863,0.04317199102760201,15,5,0
HG01505,haplotype_1,1hop,False,3365.4,0.6245752408353904,auroc,0.05644341958833483,0.004362944564363594,0.05336138972445924,0.06021534134129939,15,5,0
HG01505,haplotype_1,strict,False,3365.4,0.6245752408353904,auprc,0.03433069416964171,0.003123538338135611,0.031708790807376507,0.03667810476595117,15,5,0
HG01505,haplotype_1,strict,False,3365.4,0.6245752408353904,auroc,0.04759186596690907,0.0022291225244886665,0.04605419618973488,0.04924252128134752,15,5,0
HG01505,haplotype_2,1hop,False,3453.6,0.6286401762209698,auprc,0.0395185256473961,0.0055779155773788835,0.035586994675013334,0.04398481228450968,15,5,0
HG01505,haplotype_2,1hop,False,3453.6,0.6286401762209698,auroc,0.0577282139759151,0.004405278561836468,0.05450239664299354,0.06094102979521346,15,5,0
HG01505,haplotype_2,strict,False,3453.6,0.6286401762209698,auprc,0.03344417546723218,0.004038204148377422,0.030288192798106045,0.03675711218985885,15,5,0
