fold,seed,context,feature_set,family,stratum,positive_count,negative_count,positive_prevalence,sufficiently_powered,class_recall,balanced_accuracy,normalized_ap,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_b,20260806,strict,coordinate,sv_type,INS,26947,0,1.0,False,0.916836753627491,,,26947,1.0,0.2790009501876743,,,0.916836753627491,1.0,0.916836753627491,0.9566143302421931,0.5887365196722958,0.2058239396965555,0.39566648110800307
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,complexity,high,17550,10923,0.6163734063849963,True,0.7338180030204053,0.6860857392579447,0.6982443738585,28473,0.6163734063849963,0.3049216131252039,0.8208043066552633,0.8842385170391738,0.7338180030204053,0.7339621756065512,0.8911680911680911,0.8049615275740498,0.517877627137197,0.17453703425412206,0.08880416566502469
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,complexity,low,4052,2147,0.6536538151314728,True,0.8101306662364898,0.7587427715432953,0.8078856391862304,6199,0.6536538151314728,0.3049216131252039,0.8914725706017396,0.9334619240736952,0.8101306662364898,0.8105422337437892,0.9259624876604146,0.864416541873056,0.40509119269112365,0.13034420035159244,0.07188591230276414
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,complexity,medium,5345,3200,0.6255119953188999,True,0.7952018724400234,0.7490107577174929,0.7909011088693622,8545,0.6255119953188999,0.3049216131252039,0.8828176742282507,0.9216949734794568,0.7952018724400234,0.7817839786800439,0.933021515434986,0.850733538041624,0.4223301024909111,0.13710414479962393,0.06086208825518583
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,start_complexity,high,17550,10923,0.6163734063849963,True,0.7338180030204053,0.6860857392579447,0.6982443738585,28473,0.6163734063849963,0.3049216131252039,0.8208043066552633,0.8842385170391738,0.7338180030204053,0.7339621756065512,0.8911680911680911,0.8049615275740498,0.517877627137197,0.17453703425412206,0.08880416566502469
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,start_complexity,low,4052,2147,0.6536538151314728,True,0.8101306662364898,0.7587427715432953,0.8078856391862304,6199,0.6536538151314728,0.3049216131252039,0.8914725706017396,0.9334619240736952,0.8101306662364898,0.8105422337437892,0.9259624876604146,0.864416541873056,0.40509119269112365,0.13034420035159244,0.07188591230276414
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,start_complexity,medium,5345,3200,0.6255119953188999,True,0.7952018724400234,0.7490107577174929,0.7909011088693622,8545,0.6255119953188999,0.3049216131252039,0.8828176742282507,0.9216949734794568,0.7952018724400234,0.7817839786800439,0.933021515434986,0.850733538041624,0.4223301024909111,0.13710414479962393,0.06086208825518583
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,bp>=1e+06,4,0,1.0,False,1.0,,,4,1.0,0.3049216131252039,,,1.0,1.0,1.0,1.0,0.11057259761565584,0.012058948074773687,0.10400576897869296
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[100,500)",12677,6604,0.6574866448835641,True,0.7773974378922255,0.7110979875657242,0.775288952388672,19281,0.6574866448835641,0.3049216131252039,0.8603024540167198,0.9230334651509149,0.7773974378922255,0.7798544823443028,0.9215902816123689,0.8448188589196616,0.4565112606993797,0.15197252824457028,0.09409452667095489
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[1000,10000)",2822,1891,0.5987693613409718,True,0.7540844472734989,0.7014864135048297,0.8036049618461774,4713,0.5987693613409718,0.3049216131252039,0.8884254784403425,0.9212002934120775,0.7540844472734989,0.7188733877336141,0.9677533664068037,0.8249509137592509,0.41190268471023983,0.13350154596122515,0.04733746299220473
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[10000,100000)",432,230,0.6525679758308157,True,0.7145015105740181,0.6084440418679549,0.5974505058534737,662,0.6525679758308157,0.3049216131252039,0.7724285426731079,0.8601414144203912,0.7145015105740181,0.7084048027444254,0.9560185185185185,0.8137931034482758,0.5410305100544787,0.18113635301472533,0.06083246559193337
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[100000,1e+06)",21,16,0.5675675675675675,False,0.6216216216216216,0.5699404761904762,-0.10935698887339296,37,0.5675675675675675,0.3049216131252039,0.45238095238095233,0.5202780588655598,0.6216216216216216,0.6060606060606061,0.9523809523809523,0.7407407407407407,0.9837728561272688,0.2991871548743031,0.3008378049711533
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[50,100)",8900,6426,0.5807125146809343,True,0.7281090956544435,0.7055319855782514,0.6580488899069552,15326,0.5807125146809343,0.3049216131252039,0.8126924502635011,0.8566241789470243,0.7281090956544435,0.729423170140572,0.8453932584269663,0.7831381733021078,0.5540158601678697,0.18657408284953636,0.10775658461038913
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,length,"bp[500,1000)",2091,1103,0.6546649968691296,True,0.7855353788353162,0.7081176808781581,0.8427132234132794,3194,0.6546649968691296,0.3049216131252039,0.8981754035448734,0.9456833705149803,0.7855353788353162,0.7701767870868562,0.9583931133428981,0.8540379288301726,0.3870878458091457,0.12501930758945548,0.047598832593718235
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,allele_frequency,"af[0.001,0.01)",6972,4589,0.6030620188565003,True,0.7065997751059597,0.6578297750351404,0.6219825072439612,11561,0.6030620188565003,0.3049216131252039,0.7873902764812012,0.8499504995884904,0.7065997751059597,0.7013045434098065,0.8944348823866897,0.7861825516893596,0.5491115477470615,0.1867043057749706,0.06757515955838791
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,allele_frequency,"af[0.01,0.05)",9521,5284,0.6430935494765282,True,0.7577169875042216,0.7009202872871722,0.7412292868306025,14805,0.6430935494765282,0.3049216131252039,0.8409958809726235,0.9076430632632829,0.7577169875042216,0.7651000714796283,0.8993803171935721,0.8268237338869309,0.489897762529772,0.1638259228979973,0.09515494047590133
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,allele_frequency,"af[0.05,0.5)",9166,5531,0.6236646934748589,True,0.7781179832618902,0.7349984849245754,0.781834211155447,14697,0.6236646934748589,0.3049216131252039,0.8707434832722143,0.917896510981886,0.7781179832618902,0.7742684626103112,0.9093388610080733,0.8363855300787718,0.4534955015434866,0.14907566870028113,0.08490594506145395
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,allele_frequency,"af[0.5,1)",1288,866,0.5979572887650882,True,0.8765088207985144,0.8545545665801213,0.9167658973744458,2154,0.5979572887650882,0.3049216131252039,0.9613397070847619,0.9665363357132173,0.8765088207985144,0.8480926430517711,0.9666149068322981,0.9034833091436865,0.2782090728007636,0.0808984313614711,0.07338668220567218
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,carrier_frequency,AC_gt1,19876,11617,0.6311243768456483,True,0.7760454704219986,0.7290037584837996,0.7772912220572513,31493,0.6311243768456483,0.3049216131252039,0.8664549443876646,0.9178481607544244,0.7760454704219986,0.7753252887877357,0.9083819682028578,0.836596158747075,0.45742702959277065,0.15086270952453024,0.08674996036002214
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,carrier_frequency,singleton_AC1,7071,4653,0.603121801432958,True,0.7054759467758445,0.6563984750419002,0.6190693121059884,11724,0.603121801432958,0.3049216131252039,0.7855352375523166,0.8488169148097205,0.7054759467758445,0.7003322259136212,0.8943572337717437,0.7855412707285262,0.5509852664439947,0.1874814295934744,0.0675863912649287
fold_b,20260806,strict,coordinate_plus_frozen_pangenomefm,sv_type,DEL,0,16270,0.0,False,0.5121081745543946,,,16270,0.0,0.3049216131252039,,,0.5121081745543946,0.0,0.0,0.0,0.4640709134188396,0.1516321149420921,0.31477486684376343
